SUBURB,month,predicted_incidents,actual_incidents,absolute_error
ALBERTON,2025-12,1.22,1,0.22
ALEXANDRA,2025-09,1.0,2,1.0
ALEXANDRA,2025-10,1.0,1,0.0
ALEXANDRA,2026-02,1.0,1,0.0
AMANZIMTOTI,2025-03,0.9,1,0.1
AMANZIMTOTI,2025-06,0.87,1,0.13
AMANZIMTOTI,2025-08,0.83,1,0.17
ARCADIA,2025-04,1.38,1,0.38
ARCADIA,2025-09,1.37,1,0.37
BALLITO,2025-07,0.79,1,0.21
BALLITO,2025-09,0.72,2,1.28
BALLITO,2025-11,0.65,1,0.35
BALLITO,2025-12,0.59,2,1.41
BALLITO,2026-01,0.52,1,0.48
BANTRY BAY,2026-01,0.77,1,0.23
BEACON BAY NORTH,2024-09,1.75,2,0.25
BEACON BAY NORTH,2024-11,1.77,1,0.77
BEACON BAY NORTH,2024-12,1.79,3,1.21
BEDFORDVIEW,2025-12,1.4,1,0.4
BEDFORDVIEW,2026-02,1.38,1,0.38
BEDFORDVIEW,2026-03,1.35,1,0.35
BEDFORDVIEW,2026-04,1.33,1,0.33
BEDFORDVIEW,2026-06,1.31,1,0.31
BELLVILLE,2025-08,1.43,1,0.43
BELLVILLE,2025-10,1.46,1,0.46
BELLVILLE,2025-12,1.48,2,0.52
BELLVILLE,2026-02,1.5,1,0.5
BENDOR,2026-05,1.17,1,0.17
BENDOR PARK,2025-04,1.4,1,0.4
BENDOR PARK,2025-09,1.4,1,0.4
BENONI,2026-03,1.06,1,0.06
BENONI,2026-06,1.05,1,0.05
BLAIRGOWRIE,2025-12,1.39,1,0.39
BLAIRGOWRIE,2026-02,1.39,1,0.39
BLAIRGOWRIE,2026-04,1.39,1,0.39
BLOEMFONTEIN,2026-04,1.47,1,0.47
BLOEMFONTEIN,2026-05,1.47,1,0.47
BLOUBERGSTRAND,2024-06,1.89,1,0.89
BLOUBERGSTRAND,2024-07,2.02,1,1.02
BLOUBERGSTRAND,2024-12,2.16,1,1.16
BOKSBURG,2025-12,1.18,1,0.18
BOKSBURG,2026-06,1.17,1,0.17
BONAERO PARK,2025-12,1.12,1,0.12
BOTHASIG,2026-05,1.45,1,0.45
BRACKENFELL CENTRAL,2024-03,1.0,1,0.0
BRACKENFELL CENTRAL,2024-05,1.0,1,0.0
BRACKENFELL CENTRAL,2024-07,1.0,1,0.0
BRACKENHURST,2024-12,1.65,1,0.65
BRACKENHURST,2025-03,1.66,1,0.66
BRACKENHURST,2025-06,1.68,1,0.68
BRAKPAN,2025-12,1.21,2,0.79
BRAKPAN,2026-04,1.19,1,0.19
BRITS,2025-12,1.26,1,0.26
BRITS,2026-02,1.26,1,0.26
BRITS,2026-05,1.26,1,0.26
BROMHOF,2026-04,1.2,1,0.2
BROOKLYN,2025-11,1.19,1,0.19
BROOKLYN,2026-01,1.16,4,2.84
BROOKLYN,2026-04,1.14,1,0.14
BRYANSTON,2025-12,2.24,1,1.24
BRYANSTON,2026-02,2.24,1,1.24
BRYANSTON,2026-03,2.24,1,1.24
BRYANSTON,2026-04,2.24,2,0.24
BRYANSTON,2026-05,2.24,1,1.24
BRYANSTON,2026-06,2.24,2,0.24
BULWER,2024-07,0.92,1,0.08
BULWER,2025-01,0.85,1,0.15
CAMPS BAY,2025-12,1.18,1,0.18
CAMPS BAY,2026-01,1.16,1,0.16
CAMPS BAY,2026-03,1.15,3,1.85
CAPE TOWN CITY CENTRE,2025-12,2.11,1,1.11
CAPE TOWN CITY CENTRE,2026-02,2.11,2,0.11
CAPE TOWN CITY CENTRE,2026-03,2.11,2,0.11
CAPE TOWN CITY CENTRE,2026-05,2.11,1,1.11
CAPE TOWN CITY CENTRE,2026-06,2.11,1,1.11
CENTURION CENTRAL,2025-05,1.39,2,0.61
CENTURION CENTRAL,2025-11,1.37,1,0.37
CLAREMONT,2025-10,0.93,1,0.07
CLAREMONT,2025-12,0.89,1,0.11
CLAREMONT,2026-01,0.84,1,0.16
CLAREMONT,2026-03,0.79,1,0.21
CLAREMONT,2026-04,0.75,2,1.25
CONSTANTIA,2026-02,2.34,1,1.34
CONSTANTIA,2026-03,2.4,1,1.4
CONSTANTIA,2026-04,2.47,2,0.47
CONSTANTIA KLOOF,2025-09,1.42,1,0.42
CONSTANTIA KLOOF,2025-11,1.44,1,0.44
CONSTANTIA KLOOF,2026-03,1.46,1,0.46
CONSTANTIA PARK,2025-05,1.4,2,0.6
CONSTANTIA PARK,2025-06,1.44,1,0.44
CONSTANTIA PARK,2025-07,1.47,1,0.47
CRAIGHALL,2025-09,1.44,1,0.44
CRAIGHALL,2025-10,1.51,1,0.51
CRAIGHALL,2025-11,1.58,1,0.58
CRAIGHALL PARK,2025-12,1.24,1,0.24
CRAIGHALL PARK,2026-05,1.24,1,0.24
CRAIGHALL PARK,2026-06,1.25,1,0.25
CROYDON,2025-07,2.05,1,1.05
CROYDON,2025-08,2.13,2,0.13
CROYDON,2025-09,2.21,1,1.21
DAN PIENAAR,2026-01,1.09,1,0.09
DAVEYTON,2025-06,1.33,1,0.33
DAVEYTON,2025-12,1.38,1,0.38
DAWNCLIFFE,2025-12,1.0,1,0.0
DAWNCLIFFE,2026-02,0.97,1,0.03
DAWNCLIFFE,2026-03,0.93,1,0.07
DIE HOEWES,2025-08,1.33,1,0.33
DIE HOEWES,2025-09,1.34,1,0.34
DIE WILGERS,2025-07,1.3,1,0.3
DIE WILGERS,2025-11,1.28,1,0.28
DIE WILGERS,2025-12,1.26,1,0.26
DOORNPOORT,2025-11,1.44,1,0.44
DURBAN CENTRAL,2025-10,1.15,2,0.85
DURBAN CENTRAL,2026-01,1.12,1,0.12
DURBAN CENTRAL,2026-02,1.09,2,0.91
DURBAN CENTRAL,2026-04,1.05,1,0.05
DURBAN NORTH,2025-11,1.69,1,0.69
DURBAN NORTH,2026-02,1.68,2,0.32
DURBAN NORTH,2026-03,1.67,1,0.67
DURBANVILLE,2025-11,1.98,2,0.02
DURBANVILLE,2025-12,1.99,1,0.99
DURBANVILLE,2026-01,2.0,2,0.0
DURBANVILLE,2026-02,2.0,2,0.0
DURBANVILLE,2026-05,2.01,1,1.01
EAST LONDON,2025-08,1.4,1,0.4
EDENVALE,2025-03,1.95,1,0.95
EDENVALE,2025-04,1.96,1,0.96
EDENVALE,2025-08,1.97,1,0.97
EDGEMEAD,2026-01,1.51,2,0.49
ELARDUSPARK,2025-10,0.99,2,1.01
ELARDUSPARK,2026-02,0.98,1,0.02
ELARDUSPARK,2026-04,0.98,1,0.02
ELDORAIGNE,2026-05,1.04,1,0.04
ELSPARK,2025-08,1.2,1,0.2
EMALAHLENI,2025-09,1.58,1,0.58
EQUESTRIA,2025-07,1.33,1,0.33
EQUESTRIA,2025-11,1.34,1,0.34
ERASMUSKLOOF,2026-02,1.13,1,0.13
ESSENWOOD,2026-01,1.06,2,0.94
ESSENWOOD,2026-03,1.06,1,0.06
ESSENWOOD,2026-04,1.05,1,0.05
ESSENWOOD,2026-05,1.05,1,0.05
FAERIE GLEN,2026-03,1.32,1,0.32
FAERIE GLEN,2026-04,1.33,1,0.33
FAERIE GLEN,2026-05,1.33,2,0.67
FAIRLAND,2025-01,1.05,3,1.95
FAIRLAND,2025-04,1.01,2,0.99
FAIRLAND,2025-05,0.98,1,0.02
FARRARMERE,2026-02,0.98,1,0.02
FAUNA,2026-04,10.92,1,9.92
FERNDALE,2026-02,1.03,1,0.03
FERNDALE,2026-06,1.02,1,0.02
FISH HOEK,2025-08,1.33,1,0.33
FISH HOEK,2025-11,1.34,2,0.66
FISH HOEK,2025-12,1.35,1,0.35
FISH HOEK,2026-01,1.35,2,0.65
FLORA PARK,2025-12,1.62,1,0.62
FLORIDA,2026-01,1.11,2,0.89
FOURWAYS,2026-02,1.31,1,0.31
FOURWAYS,2026-03,1.28,1,0.28
FOURWAYS,2026-06,1.26,1,0.26
GARDENS,2025-12,1.51,1,0.51
GARSFONTEIN,2025-10,1.04,1,0.04
GARSFONTEIN,2025-11,1.01,1,0.01
GARSFONTEIN,2026-03,0.97,1,0.03
GARSFONTEIN,2026-04,0.93,1,0.07
GEORGE,2025-10,1.04,1,0.04
GEORGE,2026-03,1.03,1,0.03
GEORGE,2026-04,1.03,1,0.03
GLEN AUSTIN AH,2024-04,1.05,1,0.05
GLEN AUSTIN AH,2024-07,1.02,1,0.02
GLEN AUSTIN AH,2024-09,0.99,1,0.01
GLENMARAIS,2025-08,0.96,1,0.04
GLENMARAIS,2025-10,0.91,1,0.09
GLENVISTA,2026-03,1.5,1,0.5
GLENVISTA,2026-05,1.51,1,0.51
GLENWOOD,2025-06,1.29,1,0.29
GLENWOOD,2025-07,1.27,1,0.27
GLENWOOD,2025-10,1.24,1,0.24
GONUBIE,2025-07,1.45,1,0.45
