SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score
BRYANSTON,89,Theft,80,Theft:80; Armed Robbery:8; Hijack:1,May,Friday,12,9454546.94,109936.59,3,0.8,0.905578910938864,0.8528
SOMERSET WEST,107,Theft,105,Theft:105; Malicious Damage:1; Burglary:1,April,Sunday,2,6032135.3,56375.1,0,0.9714285714285714,0.5764917041853236,0.774
JOHANNESBURG,110,Theft,103,Theft:103; Armed Robbery:3; Hijack:2; Windscreen/ Motor glass damage:2,January,Saturday,12,5598123.93,51358.94,1,1.0,0.534758679500842,0.7674
GARSFONTEIN,57,Theft,54,Theft:54; Hijack:1; Armed Robbery:1; Stolen and recovered:1,July,Saturday,13,10436498.92,183096.47,0,0.49523809523809526,1.0,0.7476
RONDEBOSCH,102,Theft,97,Theft:97; Armed Robbery:3; Burglary:1; Hijack:1,February,Saturday,0,5118796.23,51187.96,2,0.9238095238095239,0.48866819404638073,0.7062
RUSTENBURG,99,Theft,97,Theft:97; Hijack:2,November,Thursday,13,5356826.84,54109.36,0,0.8952380952380953,0.511556390092471,0.7034
MORNINGSIDE,73,Theft,72,Theft:72; Stolen and recovered:1,April,Friday,10,7645541.63,104733.45,0,0.6476190476190476,0.7316312485617508,0.6896
NEWLANDS,76,Theft,65,Theft:65; Hijack:5; Armed Robbery:3; Stolen and recovered:1; Remote jamming:1; Burglary:1,January,Thursday,14,7243879.57,95314.2,0,0.6761904761904762,0.6930088210783424,0.6846
STRAND,75,Theft,71,Theft:71; Attempted Theft:1; Armed Robbery:1; Accidental Damage:1; Burglary:1,December,Saturday,0,6792642.04,90568.56,0,0.6666666666666666,0.649619388727631,0.6581
WATERKLOOF RIDGE,56,Theft,51,Theft:51; Armed Robbery:3; Burglary:2,November,Sunday,3,8466708.69,151191.23,0,0.4857142857142857,0.8105918186156257,0.6482
MENLO PARK,42,Theft,42,Theft:42,June,Saturday,14,8976319.64,213721.9,0,0.3523809523809524,0.8595942361233333,0.606
RANDPARKRIF,46,Theft,43,Theft:43; Burglary:2; Attempted Theft:1,November,Saturday,13,7595036.52,165109.49,0,0.3904761904761905,0.7267748527435434,0.5586
SEA POINT,78,Theft,74,Theft:74; Armed Robbery:2; Attempted Theft:1; Windscreen/ Motor glass damage:1,July,Sunday,0,4340393.73,55646.07,0,0.6952380952380952,0.4138197154294214,0.5545
DURBAN CENTRAL,64,Theft,59,Theft:59; Hijack:3; Armed Robbery:1; Attempted Theft:1,August,Wednesday,17,5720531.83,90802.09,1,0.5619047619047619,0.546528997666183,0.5542
BEDFORDVIEW,50,Theft,47,Theft:47; Armed Robbery:1; Burglary:1; Hijack:1,September,Friday,1,6873699.78,140279.59,1,0.42857142857142855,0.6574136192435005,0.543
WATERKLOOF,28,Theft,27,Theft:27; Armed Robbery:1,April,Saturday,10,9017411.34,333978.2,1,0.21904761904761905,0.8635454711576305,0.5413
BROOKLYN,46,Theft,45,Theft:45; Hijack:1,January,Tuesday,11,7193253.35,156375.07,0,0.3904761904761905,0.688140779743522,0.5393
FAUNA,87,Theft,84,Theft:84; Attempted Theft:1; Burglary:1; Armed Robbery:1,August,Wednesday,12,2759915.32,31723.16,0,0.780952380952381,0.2618464053803775,0.5214
CAPE TOWN CITY CENTRE,93,Theft,88,Theft:88; Armed Robbery:2; Hijack:1; Attempted Theft:1; Accidental Damage:1,June,Thursday,16,1343332.83,14761.9,2,0.8380952380952381,0.12563275728453507,0.4819
