STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score
Inanda,eThekwini District,KwaZulu-Natal,527,Robbery with aggravating circumstances,312,Increased,Robbery with aggravating circumstances:312; Burglary at residential premises:176; Theft of motor vehicle and motorcycle:19; Carjacking:20; Truck hijacking:0,1.0
Delft,City of Cape Town District,Western Cape,411,Robbery with aggravating circumstances,208,Increased,Robbery with aggravating circumstances:208; Burglary at residential premises:111; Theft of motor vehicle and motorcycle:31; Carjacking:61; Truck hijacking:0,0.7756
Tembisa,Ekurhuleni District,Gauteng,372,Robbery with aggravating circumstances,209,Decreased,Robbery with aggravating circumstances:209; Burglary at residential premises:88; Theft of motor vehicle and motorcycle:40; Carjacking:35; Truck hijacking:0,0.7002
Ivory Park,Ekurhuleni District,Gauteng,371,Robbery with aggravating circumstances,167,Decreased,Robbery with aggravating circumstances:167; Burglary at residential premises:90; Theft of motor vehicle and motorcycle:67; Carjacking:47; Truck hijacking:0,0.6983
Mfuleni,City of Cape Town District,Western Cape,370,Robbery with aggravating circumstances,211,Decreased,Robbery with aggravating circumstances:211; Burglary at residential premises:107; Theft of motor vehicle and motorcycle:26; Carjacking:26; Truck hijacking:0,0.6963
Plessislaer,Umgungundlovu District,KwaZulu-Natal,369,Burglary at residential premises,252,Increased,Robbery with aggravating circumstances:106; Burglary at residential premises:252; Theft of motor vehicle and motorcycle:7; Carjacking:4; Truck hijacking:0,0.6944
Mankweng,Capricorn District,Limpopo,363,Burglary at residential premises,261,Increased,Robbery with aggravating circumstances:94; Burglary at residential premises:261; Theft of motor vehicle and motorcycle:7; Carjacking:1; Truck hijacking:0,0.6828
Seshego,Capricorn District,Limpopo,333,Burglary at residential premises,198,Increased,Robbery with aggravating circumstances:119; Burglary at residential premises:198; Theft of motor vehicle and motorcycle:14; Carjacking:2; Truck hijacking:0,0.6248
Jeppe,Johannesburg District,Gauteng,328,Robbery with aggravating circumstances,218,Increased,Robbery with aggravating circumstances:218; Burglary at residential premises:37; Theft of motor vehicle and motorcycle:31; Carjacking:41; Truck hijacking:1,0.6151
Temba,Tshwane District,Gauteng,325,Burglary at residential premises,158,Increased,Robbery with aggravating circumstances:139; Burglary at residential premises:158; Theft of motor vehicle and motorcycle:5; Carjacking:22; Truck hijacking:1,0.6093
Umlazi,eThekwini District,KwaZulu-Natal,325,Robbery with aggravating circumstances,180,Decreased,Robbery with aggravating circumstances:180; Burglary at residential premises:79; Theft of motor vehicle and motorcycle:11; Carjacking:52; Truck hijacking:3,0.6093
JHB Central,Johannesburg District,Gauteng,322,Robbery with aggravating circumstances,235,Decreased,Robbery with aggravating circumstances:235; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:62; Carjacking:12; Truck hijacking:2,0.6035
Witbank,Nkangala District,Mpumalanga,300,Burglary at residential premises,116,Decreased,Robbery with aggravating circumstances:111; Burglary at residential premises:116; Theft of motor vehicle and motorcycle:41; Carjacking:31; Truck hijacking:1,0.5609
