STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score,lat,lon
Seshego,Capricorn District,Limpopo,333,Burglary at residential premises,198,Increased,Robbery with aggravating circumstances:119; Burglary at residential premises:198; Theft of motor vehicle and motorcycle:14; Carjacking:2; Truck hijacking:0,0.6248,-23.8539536,29.382852
Jeppe,Johannesburg District,Gauteng,328,Robbery with aggravating circumstances,218,Increased,Robbery with aggravating circumstances:218; Burglary at residential premises:37; Theft of motor vehicle and motorcycle:31; Carjacking:41; Truck hijacking:1,0.6151,-26.2021077,28.0604459
Temba,Tshwane District,Gauteng,325,Burglary at residential premises,158,Increased,Robbery with aggravating circumstances:139; Burglary at residential premises:158; Theft of motor vehicle and motorcycle:5; Carjacking:22; Truck hijacking:1,0.6093,-25.3886994,28.2603603
Vanderbijlpark,Sedibeng District,Gauteng,293,Robbery with aggravating circumstances,125,Decreased,Robbery with aggravating circumstances:125; Burglary at residential premises:101; Theft of motor vehicle and motorcycle:45; Carjacking:13; Truck hijacking:9,0.5474,-26.6988455,27.8330231
Ntuzuma,eThekwini District,KwaZulu-Natal,283,Robbery with aggravating circumstances,162,Increased,Robbery with aggravating circumstances:162; Burglary at residential premises:88; Theft of motor vehicle and motorcycle:14; Carjacking:19; Truck hijacking:0,0.528,-29.734805,30.9506823
Moroka,Johannesburg District,Gauteng,277,Robbery with aggravating circumstances,147,Decreased,Robbery with aggravating circumstances:147; Burglary at residential premises:77; Theft of motor vehicle and motorcycle:20; Carjacking:33; Truck hijacking:0,0.5164,-26.2677617,27.8758237
Vosman,Nkangala District,Mpumalanga,276,Robbery with aggravating circumstances,130,Decreased,Robbery with aggravating circumstances:130; Burglary at residential premises:98; Theft of motor vehicle and motorcycle:23; Carjacking:25; Truck hijacking:0,0.5145,-25.8673984,29.1273783
Protea,Johannesburg District,Gauteng,270,Robbery with aggravating circumstances,121,Increased,Robbery with aggravating circumstances:121; Burglary at residential premises:87; Theft of motor vehicle and motorcycle:26; Carjacking:36; Truck hijacking:0,0.5029,-26.2762672,27.8381275
Alexandra Road,Umgungundlovu District,KwaZulu-Natal,241,Burglary at residential premises,131,Decreased,Robbery with aggravating circumstances:86; Burglary at residential premises:131; Theft of motor vehicle and motorcycle:16; Carjacking:7; Truck hijacking:1,0.4468,-29.6189417,30.3886032
Loate,Tshwane District,Gauteng,240,Robbery with aggravating circumstances,150,Decreased,Robbery with aggravating circumstances:150; Burglary at residential premises:57; Theft of motor vehicle and motorcycle:9; Carjacking:24; Truck hijacking:0,0.4449,-25.4949596,28.073733
Rietgat,Tshwane District,Gauteng,218,Robbery with aggravating circumstances,89,Decreased,Robbery with aggravating circumstances:89; Burglary at residential premises:88; Theft of motor vehicle and motorcycle:9; Carjacking:31; Truck hijacking:1,0.4023,-25.4977145,28.0901854
Cape Town Central,City of Cape Town District,Western Cape,217,Robbery with aggravating circumstances,124,Decreased,Robbery with aggravating circumstances:124; Burglary at residential premises:48; Theft of motor vehicle and motorcycle:38; Carjacking:7; Truck hijacking:0,0.4004,-33.9275118,18.4232483
Ennerdale,Johannesburg District,Gauteng,205,Robbery with aggravating circumstances,104,Decreased,Robbery with aggravating circumstances:104; Burglary at residential premises:62; Theft of motor vehicle and motorcycle:4; Carjacking:35; Truck hijacking:0,0.3772,-26.4038914,27.832051
Orlando,Johannesburg District,Gauteng,199,Robbery with aggravating circumstances,108,Decreased,Robbery with aggravating circumstances:108; Burglary at residential premises:54; Theft of motor vehicle and motorcycle:25; Carjacking:12; Truck hijacking:0,0.3656,-26.2386398,27.919954
Moffatview,Johannesburg District,Gauteng,189,Robbery with aggravating circumstances,91,Decreased,Robbery with aggravating circumstances:91; Burglary at residential premises:53; Theft of motor vehicle and motorcycle:27; Carjacking:18; Truck hijacking:0,0.3462,-26.2427755,28.0883772
Ikageng,Dr Kenneth Kaunda District,North West,189,Burglary at residential premises,145,Decreased,Robbery with aggravating circumstances:41; Burglary at residential premises:145; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.3462,-26.7204122,27.0622932
Klerksdorp,Dr Kenneth Kaunda District,North West,184,Burglary at residential premises,106,Increased,Robbery with aggravating circumstances:59; Burglary at residential premises:106; Theft of motor vehicle and motorcycle:14; Carjacking:5; Truck hijacking:0,0.3366,-26.8640843,26.6632928
Meadowlands,Johannesburg District,Gauteng,175,Robbery with aggravating circumstances,102,Increased,Robbery with aggravating circumstances:102; Burglary at residential premises:41; Theft of motor vehicle and motorcycle:15; Carjacking:17; Truck hijacking:0,0.3191,-26.221465,27.899908
Randburg,Johannesburg District,Gauteng,172,Robbery with aggravating circumstances,70,Decreased,Robbery with aggravating circumstances:70; Burglary at residential premises:53; Theft of motor vehicle and motorcycle:33; Carjacking:12; Truck hijacking:4,0.3133,-26.0769539,27.997592
